Time,Open,High,Low,Close,Volume
2021-02-26T00:55+01:00[Europe/Zurich],0.031244,0.031365,0.031234,0.031351,245.945
2021-02-26T00:56+01:00[Europe/Zurich],0.031348,0.031425,0.031333,0.031357,569.568
2021-02-26T00:57+01:00[Europe/Zurich],0.031376,0.031377,0.031337,0.031365,214.5
2021-02-26T00:58+01:00[Europe/Zurich],0.031362,0.031382,0.031335,0.031354,323.673
2021-02-26T00:59+01:00[Europe/Zurich],0.031354,0.031482,0.031338,0.031475,441.415
2021-02-26T01:00+01:00[Europe/Zurich],0.031476,0.031667,0.031475,0.031591,661.658
2021-02-26T01:01+01:00[Europe/Zurich],0.031598,0.031685,0.031571,0.031678,712.53
2021-02-26T01:02+01:00[Europe/Zurich],0.031675,0.031687,0.03156,0.031607,383.309
2021-02-26T01:03+01:00[Europe/Zurich],0.031606,0.031622,0.031565,0.031584,334.748
2021-02-26T01:04+01:00[Europe/Zurich],0.031585,0.031699,0.031555,0.031693,438.358
2021-02-26T01:05+01:00[Europe/Zurich],0.031694,0.03175,0.031682,0.03171,567.789
2021-02-26T01:06+01:00[Europe/Zurich],0.031714,0.031728,0.03164,0.03164,331.13
2021-02-26T01:07+01:00[Europe/Zurich],0.03164,0.031659,0.031579,0.031584,425.144
2021-02-26T01:08+01:00[Europe/Zurich],0.031579,0.031647,0.031546,0.031646,346.845
2021-02-26T01:09+01:00[Europe/Zurich],0.031646,0.031709,0.031637,0.031709,435.56
2021-02-26T01:10+01:00[Europe/Zurich],0.031709,0.031802,0.031701,0.031736,514.186
2021-02-26T01:11+01:00[Europe/Zurich],0.031736,0.031802,0.031701,0.031785,440.431
2021-02-26T01:12+01:00[Europe/Zurich],0.03179,0.031811,0.031759,0.031803,249.32
2021-02-26T01:13+01:00[Europe/Zurich],0.031804,0.031838,0.03179,0.03182,153.095
2021-02-26T01:14+01:00[Europe/Zurich],0.03182,0.031838,0.031765,0.031804,121.49
2021-02-26T01:15+01:00[Europe/Zurich],0.031799,0.031849,0.031784,0.031798,230.884
2021-02-26T01:16+01:00[Europe/Zurich],0.031798,0.031806,0.031718,0.031721,247.862
2021-02-26T01:17+01:00[Europe/Zurich],0.031715,0.031719,0.031644,0.031661,293.871
2021-02-26T01:18+01:00[Europe/Zurich],0.031657,0.031709,0.03165,0.031672,137.139
2021-02-26T01:19+01:00[Europe/Zurich],0.031679,0.03168,0.031588,0.031604,267.744
2021-02-26T01:20+01:00[Europe/Zurich],0.031605,0.031626,0.031533,0.031537,297.87
2021-02-26T01:21+01:00[Europe/Zurich],0.03155,0.031587,0.031502,0.031587,301.422
2021-02-26T01:22+01:00[Europe/Zurich],0.031584,0.031596,0.031554,0.031586,511.615
2021-02-26T01:23+01:00[Europe/Zurich],0.031585,0.031598,0.031549,0.031572,271.17
2021-02-26T01:24+01:00[Europe/Zurich],0.03157,0.03157,0.031474,0.031478,246.266
2021-02-26T01:25+01:00[Europe/Zurich],0.031476,0.031552,0.031465,0.03154,280.683
2021-02-26T01:26+01:00[Europe/Zurich],0.03154,0.031544,0.031505,0.031523,280.241
2021-02-26T01:27+01:00[Europe/Zurich],0.031518,0.031533,0.03149,0.031524,112.158
2021-02-26T01:28+01:00[Europe/Zurich],0.031525,0.031525,0.031394,0.031394,348.282
2021-02-26T01:29+01:00[Europe/Zurich],0.031394,0.031407,0.031341,0.031348,304.75
2021-02-26T01:30+01:00[Europe/Zurich],0.031348,0.031353,0.031298,0.031317,601.655
2021-02-26T01:31+01:00[Europe/Zurich],0.031313,0.031405,0.031305,0.031387,255.061
2021-02-26T01:32+01:00[Europe/Zurich],0.031387,0.031456,0.031372,0.031428,282.423
2021-02-26T01:33+01:00[Europe/Zurich],0.031431,0.031474,0.031414,0.031435,271.971
2021-02-26T01:34+01:00[Europe/Zurich],0.031434,0.031464,0.031396,0.03143,312.459
2021-02-26T01:35+01:00[Europe/Zurich],0.031433,0.031477,0.031418,0.031463,450.546
2021-02-26T01:36+01:00[Europe/Zurich],0.031461,0.0315,0.031456,0.031477,366.29
2021-02-26T01:37+01:00[Europe/Zurich],0.031471,0.031497,0.031428,0.031491,324.303
2021-02-26T01:38+01:00[Europe/Zurich],0.031491,0.031569,0.031476,0.031558,354.926
2021-02-26T01:39+01:00[Europe/Zurich],0.031555,0.031604,0.031463,0.031496,513.496
2021-02-26T01:40+01:00[Europe/Zurich],0.031487,0.031577,0.031471,0.031509,312.81
2021-02-26T01:41+01:00[Europe/Zurich],0.03151,0.031596,0.031503,0.031578,236.85
2021-02-26T01:42+01:00[Europe/Zurich],0.031577,0.031585,0.03143,0.031459,354.917
2021-02-26T01:43+01:00[Europe/Zurich],0.031455,0.031476,0.031404,0.031473,677.345
2021-02-26T01:44+01:00[Europe/Zurich],0.03147,0.031656,0.03147,0.031654,540.198
2021-02-26T01:45+01:00[Europe/Zurich],0.031638,0.031714,0.031635,0.031692,490.172
2021-02-26T01:46+01:00[Europe/Zurich],0.031696,0.031706,0.031611,0.031624,409.796
2021-02-26T01:47+01:00[Europe/Zurich],0.031623,0.031692,0.031574,0.031638,602.384
2021-02-26T01:48+01:00[Europe/Zurich],0.031646,0.031746,0.031628,0.031698,730.692
2021-02-26T01:49+01:00[Europe/Zurich],0.031704,0.0318,0.031694,0.031757,831.729
2021-02-26T01:50+01:00[Europe/Zurich],0.031749,0.031777,0.031696,0.031718,402.509
2021-02-26T01:51+01:00[Europe/Zurich],0.031713,0.031713,0.031663,0.031674,215.437
2021-02-26T01:52+01:00[Europe/Zurich],0.031679,0.03174,0.031673,0.03171,140.786
2021-02-26T01:53+01:00[Europe/Zurich],0.03171,0.031718,0.031678,0.031691,200.37
2021-02-26T01:54+01:00[Europe/Zurich],0.031694,0.031718,0.031664,0.03168,190.548
2021-02-26T01:55+01:00[Europe/Zurich],0.031687,0.031695,0.031618,0.031633,745.856
2021-02-26T01:56+01:00[Europe/Zurich],0.031639,0.031717,0.031638,0.031701,280.745
2021-02-26T01:57+01:00[Europe/Zurich],0.031698,0.031712,0.031682,0.03169,585.977
2021-02-26T01:58+01:00[Europe/Zurich],0.03169,0.0317,0.031654,0.03166,232.1
2021-02-26T01:59+01:00[Europe/Zurich],0.031661,0.031689,0.031621,0.031632,305.968
2021-02-26T02:00+01:00[Europe/Zurich],0.031634,0.031647,0.03159,0.031644,482.561
2021-02-26T02:01+01:00[Europe/Zurich],0.031644,0.03165,0.031606,0.031643,199.294
2021-02-26T02:02+01:00[Europe/Zurich],0.031642,0.031688,0.031638,0.031664,197.274
2021-02-26T02:03+01:00[Europe/Zurich],0.031666,0.031667,0.03157,0.031622,364.429
2021-02-26T02:04+01:00[Europe/Zurich],0.031619,0.031636,0.031601,0.031627,258.886
2021-02-26T02:05+01:00[Europe/Zurich],0.031622,0.031633,0.031576,0.031607,245.194
2021-02-26T02:06+01:00[Europe/Zurich],0.0316,0.031658,0.031599,0.031652,150.198
2021-02-26T02:07+01:00[Europe/Zurich],0.031646,0.031667,0.031631,0.03164,205.123
2021-02-26T02:08+01:00[Europe/Zurich],0.031639,0.031675,0.031629,0.031649,294.045
2021-02-26T02:09+01:00[Europe/Zurich],0.031648,0.031665,0.031603,0.031624,141.607
2021-02-26T02:10+01:00[Europe/Zurich],0.031622,0.03168,0.031609,0.031679,227.834
2021-02-26T02:11+01:00[Europe/Zurich],0.031677,0.031692,0.031569,0.031569,279.393
2021-02-26T02:12+01:00[Europe/Zurich],0.031569,0.031573,0.031533,0.031555,273.514
2021-02-26T02:13+01:00[Europe/Zurich],0.031559,0.031648,0.031558,0.031639,285.342
2021-02-26T02:14+01:00[Europe/Zurich],0.031639,0.031682,0.03162,0.031679,179.674
2021-02-26T02:15+01:00[Europe/Zurich],0.031683,0.031687,0.031631,0.031673,165.53
2021-02-26T02:16+01:00[Europe/Zurich],0.031673,0.031693,0.031661,0.031693,191.918
